Appointment_ID,Start_DateTime,End_DateTime,Type,Location,Skill_Group,Gender_Pref
APT0001,10/02/2027 13:00,10/02/2027 14:00,Online,,UG_003,Other
APT0002,10/02/2027 10:30,10/02/2027 11:00,Online,,UG_999,Female
APT0003,10/02/2027 13:00,10/02/2027 14:30,In-Person,Geelong,UG_007,Male
APT0004,10/02/2027 10:30,10/02/2027 12:00,In-Person,NonExistingLocation,UG_001,Female
APT0005,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_007,N/A
APT0006,10/02/2027 15:30,10/02/2027 16:30,In-Person,Geelong,UG_003,Other
APT0007,10/02/2027 08:00,10/02/2027 09:00,In-Person,Geelong,UG_001,Female
APT0008,10/02/2027 11:30,10/02/2027 13:00,Online,,UG_999,Female
APT0009,10/02/2027 09:30,10/02/2027 10:30,Online,,UG_003,Male
APT0010,10/02/2027 12:30,10/02/2027 13:30,Online,,UG_005,N/A
APT0011,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Female
APT0012,10/02/2027 10:30,10/02/2027 11:30,In-Person,Parramatta,UG_003,Female
APT0013,10/02/2027 11:00,10/02/2027 12:30,In-Person,Gold Coast,UG_003,Male
APT0014,10/02/2027 13:30,10/02/2027 15:00,In-Person,Canberra,UG_999,Male
APT0015,10/02/2027 17:30,10/02/2027 18:00,In-Person,Geelong,UG_001,Female
APT0016,10/02/2027 15:00,10/02/2027 16:00,In-Person,NonExistingLocation,UG_005,N/A
APT0017,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_007,Male
APT0018,10/02/2027 16:00,10/02/2027 17:00,In-Person,Canberra,UG_001,Male
APT0019,10/02/2027 12:30,10/02/2027 13:00,In-Person,Canberra,UG_003,Female
APT0020,10/02/2027 12:00,10/02/2027 13:30,In-Person,Sydney CBD,UG_999,Other
APT0021,10/02/2027 10:30,10/02/2027 11:00,Online,,UG_003,Female
APT0022,10/02/2027 11:30,10/02/2027 12:00,In-Person,NonExistingLocation,UG_001,N/A
APT0023,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_005,Female
APT0024,10/02/2027 15:00,10/02/2027 16:00,Online,,UG_007,Male
APT0025,10/02/2027 09:30,10/02/2027 10:00,In-Person,Sydney CBD,UG_005,Other
APT0026,10/02/2027 14:30,10/02/2027 16:00,In-Person,Geelong,UG_999,Male
APT0027,10/02/2027 10:00,10/02/2027 11:30,In-Person,Sydney CBD,UG_005,Other
APT0028,10/02/2027 12:00,10/02/2027 13:30,In-Person,NonExistingLocation,UG_005,Female
APT0029,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_007,Other
APT0030,10/02/2027 14:00,10/02/2027 15:30,Online,,UG_007,Female
APT0031,10/02/2027 09:30,10/02/2027 10:00,In-Person,Parramatta,UG_001,N/A
APT0032,10/02/2027 17:00,10/02/2027 18:00,Online,,UG_999,N/A
APT0033,10/02/2027 13:30,10/02/2027 15:00,In-Person,Parramatta,UG_007,Male
APT0034,10/02/2027 14:30,10/02/2027 15:30,In-Person,NonExistingLocation,UG_005,Other
APT0035,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_001,N/A
APT0036,10/02/2027 11:30,10/02/2027 12:30,Online,,UG_007,Female
APT0037,10/02/2027 16:30,10/02/2027 18:00,In-Person,Geelong,UG_003,N/A
APT0038,10/02/2027 15:30,10/02/2027 16:00,In-Person,Canberra,UG_999,Female
APT0039,10/02/2027 13:00,10/02/2027 14:00,In-Person,Gold Coast,UG_003,Female
APT0040,10/02/2027 11:30,10/02/2027 12:00,Online,,UG_007,N/A
APT0041,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Male
APT0042,10/02/2027 15:30,10/02/2027 17:00,In-Person,Geelong,UG_007,N/A
APT0043,10/02/2027 08:30,10/02/2027 10:00,In-Person,Geelong,UG_005,Female
APT0044,10/02/2027 15:00,10/02/2027 16:00,Online,,UG_999,Female
APT0045,10/02/2027 15:00,10/02/2027 16:00,Online,,UG_005,Male
APT0046,10/02/2027 09:30,10/02/2027 11:00,In-Person,NonExistingLocation,UG_005,Other
APT0047,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_001,Male
APT0048,10/02/2027 10:30,10/02/2027 11:30,In-Person,Canberra,UG_001,Other
APT0049,10/02/2027 17:30,10/02/2027 18:00,In-Person,Geelong,UG_007,Female
APT0050,10/02/2027 15:00,10/02/2027 15:30,Online,,UG_999,N/A
APT0051,10/02/2027 08:30,10/02/2027 10:00,In-Person,Canberra,UG_007,Female
APT0052,10/02/2027 08:00,10/02/2027 09:30,In-Person,NonExistingLocation,UG_007,N/A
APT0053,10/02/2027 23:00,11/02/2027 00:30,In-Person,Parramatta,UG_001,N/A
APT0054,10/02/2027 17:30,10/02/2027 19:00,Online,,UG_007,N/A
APT0055,10/02/2027 17:30,10/02/2027 19:00,In-Person,Sydney CBD,UG_007,Other
APT0056,10/02/2027 12:30,10/02/2027 13:30,In-Person,Parramatta,UG_999,Other
APT0057,10/02/2027 16:30,10/02/2027 17:30,In-Person,Parramatta,UG_003,Other
APT0058,10/02/2027 13:30,10/02/2027 15:00,In-Person,NonExistingLocation,UG_005,Male
APT0059,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_007,Other
APT0060,10/02/2027 14:30,10/02/2027 15:00,In-Person,Geelong,UG_007,Female
APT0061,10/02/2027 08:30,10/02/2027 10:00,In-Person,Parramatta,UG_005,Female
APT0062,10/02/2027 12:30,10/02/2027 14:00,Online,,UG_999,Male
APT0063,10/02/2027 12:30,10/02/2027 13:00,In-Person,Sydney CBD,UG_007,Other
APT0064,10/02/2027 16:30,10/02/2027 17:00,Online,,UG_003,Other
APT0065,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_007,Other
APT0066,10/02/2027 16:30,10/02/2027 17:00,In-Person,Sydney CBD,UG_003,N/A
APT0067,10/02/2027 11:30,10/02/2027 13:00,Online,,UG_003,Female
APT0068,10/02/2027 12:30,10/02/2027 13:30,In-Person,Geelong,UG_999,Female
APT0069,10/02/2027 16:00,10/02/2027 16:30,Online,,UG_001,Female
APT0070,10/02/2027 16:30,10/02/2027 17:30,In-Person,NonExistingLocation,UG_005,Male
APT0071,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_003,Other
APT0072,10/02/2027 17:30,10/02/2027 18:00,Online,,UG_007,Other
APT0073,10/02/2027 09:00,10/02/2027 10:30,Online,,UG_003,Female
APT0074,10/02/2027 16:00,10/02/2027 16:30,In-Person,Canberra,UG_999,Male
APT0075,10/02/2027 13:30,10/02/2027 14:00,In-Person,Sydney CBD,UG_005,Female
APT0076,10/02/2027 11:00,10/02/2027 12:30,Online,,UG_001,Male
APT0077,10/02/2027 23:00,11/02/2027 00:30,In-Person,Gold Coast,UG_003,Male
APT0078,10/02/2027 13:00,10/02/2027 14:00,In-Person,Canberra,UG_005,Other
APT0079,10/02/2027 08:00,10/02/2027 09:30,Online,,UG_007,N/A
APT0080,10/02/2027 08:30,10/02/2027 09:30,In-Person,Sydney CBD,UG_999,Male
APT0081,10/02/2027 10:30,10/02/2027 12:00,In-Person,Geelong,UG_003,Other
APT0082,10/02/2027 14:30,10/02/2027 15:00,In-Person,NonExistingLocation,UG_007,Male
APT0083,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Male
APT0084,10/02/2027 09:00,10/02/2027 09:30,In-Person,Parramatta,UG_005,Male
APT0085,10/02/2027 17:00,10/02/2027 17:30,Online,,UG_007,N/A
APT0086,10/02/2027 15:00,10/02/2027 16:30,Online,,UG_999,Other
APT0087,10/02/2027 08:00,10/02/2027 09:00,In-Person,Gold Coast,UG_001,Other
APT0088,10/02/2027 17:00,10/02/2027 17:30,In-Person,NonExistingLocation,UG_001,Other
APT0089,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_007,N/A
APT0090,10/02/2027 14:00,10/02/2027 15:30,In-Person,Canberra,UG_003,Female
APT0091,10/02/2027 10:00,10/02/2027 11:30,Online,,UG_005,Female
APT0092,10/02/2027 12:30,10/02/2027 14:00,Online,,UG_999,Female
APT0093,10/02/2027 09:30,10/02/2027 10:00,In-Person,Gold Coast,UG_007,Female
APT0094,10/02/2027 11:00,10/02/2027 12:30,Online,,UG_003,N/A
APT0095,10/02/2027 23:00,11/02/2027 00:30,In-Person,Parramatta,UG_003,Other
APT0096,10/02/2027 11:00,10/02/2027 11:30,In-Person,Gold Coast,UG_001,N/A
APT0097,10/02/2027 16:30,10/02/2027 17:00,Online,,UG_001,Other
APT0098,10/02/2027 09:30,10/02/2027 10:00,Online,,UG_999,Other
APT0099,10/02/2027 10:00,10/02/2027 11:30,In-Person,Geelong,UG_005,Male
APT0100,10/02/2027 13:00,10/02/2027 14:00,Online,,UG_005,Other
APT0101,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,N/A
APT0102,10/02/2027 10:30,10/02/2027 11:00,Online,,UG_003,Female
APT0103,10/02/2027 14:30,10/02/2027 15:30,Online,,UG_003,Other
APT0104,10/02/2027 15:30,10/02/2027 16:30,Online,,UG_999,Other
APT0105,10/02/2027 15:30,10/02/2027 17:00,In-Person,Parramatta,UG_001,Male
APT0106,10/02/2027 16:30,10/02/2027 17:00,Online,,UG_001,Male
APT0107,10/02/2027 23:00,11/02/2027 00:30,In-Person,Gold Coast,UG_007,Female
APT0108,10/02/2027 08:30,10/02/2027 10:00,Online,,UG_007,Female
APT0109,10/02/2027 13:30,10/02/2027 14:30,In-Person,Gold Coast,UG_005,Female
APT0110,10/02/2027 15:00,10/02/2027 16:30,In-Person,Canberra,UG_999,Male
APT0111,10/02/2027 11:30,10/02/2027 13:00,In-Person,Gold Coast,UG_003,Male
APT0112,10/02/2027 10:30,10/02/2027 12:00,In-Person,NonExistingLocation,UG_005,Male
APT0113,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_005,Other
APT0114,10/02/2027 11:30,10/02/2027 12:00,In-Person,Gold Coast,UG_005,N/A
APT0115,10/02/2027 15:30,10/02/2027 16:30,In-Person,Geelong,UG_005,Male
APT0116,10/02/2027 16:00,10/02/2027 17:30,Online,,UG_999,Female
APT0117,10/02/2027 14:00,10/02/2027 15:30,Online,,UG_005,Other
APT0118,10/02/2027 12:00,10/02/2027 13:00,In-Person,NonExistingLocation,UG_007,Other
APT0119,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_001,Female
